Year,Rank,Player,Club,Nationality,Points,P1,P2,P3,P4,P5,Votes,RankPts,Share,Percent,Voted
1956,1,Stanley Matthews,Blackpool,England,47,6,2,2,1,1,12,50.0,0.1958,0.5875,0.7500
1956,2,Alfredo Di Stéfano,Real Madrid CF,Spain,44,5,3,2,0,1,11,25.0,0.1833,0.5500,0.6875
1956,3,Raymond Kopa,Real Madrid CF,France,33,1,2,3,5,1,12,16.7,0.1375,0.4125,0.7500
1956,4,Ferenc Puskás,Honvéd,Hungary,32,3,3,1,1,0,8,12.5,0.1333,0.4000,0.5000
1956,5,Lev Yashin,Dynamo Moskva,Soviet Union,19,0,2,2,1,3,8,10.0,0.0792,0.2375,0.5000
1956,6,József Bozsik,Honvéd,Hungary,15,0,3,1,0,0,4,8.3,0.0625,0.1875,0.2500
1956,7,Ernst Ocwirk,Sampdoria,Austria,9,0,0,2,0,3,5,7.1,0.0375,0.1125,0.3125
1956,8,Sándor Kocsis,Honvéd,Hungary,6,1,0,0,0,1,2,6.3,0.0250,0.0750,0.1250
1956,9,Thadée Cisowski,Racing Club Paris,France,4,0,1,0,0,0,1,5.6,0.0167,0.0500,0.0625
1956,9,Ivan Kolev,CDNA Sofia,Bulgaria,4,0,0,1,0,1,2,5.6,0.0167,0.0500,0.1250
1956,9,Billy Wright,Wolverhampton Wanderers,England,4,0,0,1,0,1,2,5.6,0.0167,0.0500,0.1250
1956,12,Julinho,Fiorentina,Italy,3,0,0,1,0,0,1,4.2,0.0125,0.0375,0.0625
1956,13,Stefan Bozhkov,CDNA Sofia,Bulgaria,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,13,Duncan Edwards,Manchester United,England,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,13,Gerhard Hanappi,Rapid Wien,Austria,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,13,Robert Jonquet,Stade de Reims,France,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,13,Miguel Montuori,Fiorentina,Italy,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,13,Pepillo,Sevilla,Spain,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,13,Juan Schiaffino,Milan,Italy,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,13,Eduard Streltsov,Torpedo Moscow,Soviet Union,2,0,0,0,1,0,1,3.8,0.0083,0.0250,0.0625
1956,21,Campanal,Sevilla,Spain,1,0,0,0,0,1,1,2.4,0.0042,0.0125,0.0625
1956,21,Bretislav Dolejsi,Dukla Praha,Czechoslovakia,1,0,0,0,0,1,1,2.4,0.0042,0.0125,0.0625
1956,21,Roger Piantoni,Nancy,France,1,0,0,0,0,1,1,2.4,0.0042,0.0125,0.0625
1956,21,Kees Rijvers,AS Saint-Étienne,Netherlands,1,0,0,0,0,1,1,2.4,0.0042,0.0125,0.0625
1957,1,Alfredo Di Stéfano,Real Madrid CF,Spain,72,12,3,0,0,0,15,50.0,0.2988,0.8963,0.9375
1957,2,Billy Wright,Wolverhampton Wanderers,England,19,1,2,2,0,0,5,25.0,0.0788,0.2365,0.3125
1957,3,Duncan Edwards,Manchester United,England,16,0,1,3,1,1,6,16.7,0.0664,0.1992,0.3750
1957,3,Raymond Kopa,Real Madrid CF,France,16,0,0,3,3,1,7,16.7,0.0664,0.1992,0.4375
1957,5,László Kubala,FC Barcelona,Hungary,15,0,3,1,0,0,4,10.0,0.0622,0.1867,0.2500
1957,6,John Charles,Juventus,Wales,14,1,1,1,1,0,4,8.3,0.0581,0.1743,0.2500
1957,7,Eduard Streltsov,Torpedo Moscow,Soviet Union,12,0,1,2,1,0,4,7.1,0.0498,0.1494,0.2500
1957,8,Tommy Taylor,Manchester United,England,10,0,1,1,1,1,4,6.3,0.0415,0.1245,0.2500
1957,9,József Bozsik,Honvéd,Hungary,9,1,0,0,2,0,3,5.6,0.0373,0.1120,0.1875
1957,9,Igor Netto,Spartak Moscow,Soviet Union,9,0,1,1,0,2,4,5.6,0.0373,0.1120,0.2500
1957,11,Lev Yashin,Dynamo Moscow,Soviet Union,8,1,0,0,1,1,3,4.5,0.0332,0.0996,0.1875
1957,12,Gyula Grosics,Tatabánya,Hungary,7,0,1,0,1,1,3,4.2,0.0290,0.0871,0.1875
1957,12,Francisco Gento,Real Madrid CF,Spain,7,0,1,0,0,3,4,4.2,0.0290,0.0871,0.2500
1957,14,Miloš Milutinović,Partizan,Yugoslavia,4,0,1,0,0,0,1,3.6,0.0166,0.0498,0.0625
1957,14,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4,0,0,1,0,1,2,3.6,0.0166,0.0498,0.1250
1957,14,Juan Schiaffino,Milan,Italy,4,0,0,1,0,1,2,3.6,0.0166,0.0498,0.1250
1957,17,Stanley Matthews,Blackpool,England,3,0,0,0,1,1,2,2.9,0.0124,0.0373,0.1250
1957,17,Johnny Haynes,Fulham,England,3,0,0,0,1,1,2,2.9,0.0124,0.0373,0.1250
1957,17,Gerhard Hanappi,Rapid Wien,Austria,3,0,0,0,1,1,2,2.9,0.0124,0.0373,0.1250
1957,20,Sándor Kocsis,Young Fellows Zürich,Hungary,2,0,0,0,1,0,1,2.5,0.0083,0.0249,0.0625
1957,20,Horst Szymaniak,Wuppertaler SV,West Germany,2,0,0,0,1,0,1,2.5,0.0083,0.0249,0.0625
1957,22,Kurt Hamrin,Padova,Sweden,1,0,0,0,0,1,1,2.3,0.0041,0.0124,0.0625
1957,22,Ladislav Novák,Dukla Praha,Czechoslovakia,1,0,0,0,0,1,1,2.3,0.0041,0.0124,0.0625
1958,1,Raymond Kopa,Real Madrid CF,France,71,14,0,0,0,1,15,50.0,0.2958,0.8875,0.9375
1958,2,Helmut Rahn,Rot-Weiss Essen,West Germany,40,0,6,4,2,0,12,25.0,0.1667,0.5000,0.7500
1958,3,Just Fontaine,Stade de Reims,France,23,1,2,1,2,3,9,16.7,0.0958,0.2875,0.5625
1958,4,John Charles,Juventus,Wales,15,0,2,1,1,2,6,12.5,0.0625,0.1875,0.3750
1958,4,Kurt Hamrin,Fiorentina,Sweden,15,0,1,2,2,1,6,12.5,0.0625,0.1875,0.3750
1958,6,Billy Wright,Wolverhampton Wanderers,England,9,0,1,1,0,2,4,8.3,0.0375,0.1125,0.2500
1958,7,Johnny Haynes,Fulham,England,7,0,1,1,0,0,2,7.1,0.0292,0.0875,0.1250
1958,8,Harry Gregg,Manchester United,Northern Ireland,6,1,0,0,0,1,2,6.3,0.0250,0.0750,0.1250
1958,8,Horst Szymaniak,Wuppertaler SV,West Germany,6,0,1,0,1,0,2,6.3,0.0250,0.0750,0.1250
1958,8,Nils Liedholm,Milan,Sweden,6,0,1,0,0,2,3,6.3,0.0250,0.0750,0.1875
1958,11,Colin McDonald,Burnley,England,5,0,1,0,0,1,2,4.5,0.0208,0.0625,0.1250
1958,12,Gunnar Gren,Örgryte IS,Sweden,4,0,0,1,0,1,2,4.2,0.0167,0.0500,0.1250
1958,12,Francisco Gento,Real Madrid CF,Spain,4,0,0,0,2,0,2,4.2,0.0167,0.0500,0.1250
1958,14,Lev Yashin,Dynamo Moscow,Soviet Union,3,0,0,1,0,0,1,3.6,0.0125,0.0375,0.0625
1958,14,Vujadin Boškov,Vojvodina,Yugoslavia,3,0,0,1,0,0,1,3.6,0.0125,0.0375,0.0625
1958,14,Valentin Ivanov,Torpedo Moscow,Soviet Union,3,0,0,1,0,0,1,3.6,0.0125,0.0375,0.0625
1958,14,Bengt Gustavsson,Atalanta,Sweden,3,0,0,1,0,0,1,3.6,0.0125,0.0375,0.0625
1958,14,Luis Suárez Miramontes,FC Barcelona,Spain,3,0,0,1,0,0,1,3.6,0.0125,0.0375,0.0625
1958,19,Bruno Nicolè,Juventus,Italy,2,0,0,0,1,0,1,2.6,0.0083,0.0250,0.0625
